name,adcode,p1,p2
光明区,440311,深圳市,广东省
坪山区,440310,深圳市,广东省
澳门大学横琴校区(由澳门实施管辖),440499,珠海市,广东省
扎赉诺尔区,150703,呼伦贝尔市,内蒙古自治区
康巴什区,150603,鄂尔多斯市,内蒙古自治区
金林区,230751,伊春市,黑龙江省
大箐山县,230725,伊春市,黑龙江省
伊美区,230717,伊春市,黑龙江省
乌翠区,230718,伊春市,黑龙江省
可克达拉市,659008,新疆维吾尔自治区,
双河市,659007,新疆维吾尔自治区,
铁门关市,659006,新疆维吾尔自治区,
昆玉市,659009,新疆维吾尔自治区,
洛浦县,653224,和田地区,新疆维吾尔自治区
阿拉山口市,652702,博尔塔拉蒙古自治州,新疆维吾尔自治区
霍尔果斯市,654004,伊犁哈萨克自治州,新疆维吾尔自治区
高昌区,650402,吐鲁番市,新疆维吾尔自治区
新星市,659011,新疆维吾尔自治区,
柯坪县,652929,阿克苏地区,新疆维吾尔自治区
达坂城区,650107,乌鲁木齐市,新疆维吾尔自治区
胡杨河市,659010,新疆维吾尔自治区,
白杨市,659012,新疆维吾尔自治区,
阿克陶县,653022,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
钢城区,370117,济南市,山东省
播州区,520304,遵义市,贵州省
两江新区,500157,重庆市,
湾沚区,340210,芜湖市,安徽省
金门县,350527,泉州市,福建省
渌口区,430212,株洲市,湖南省
江华瑶族自治县,431129,永州市,湖南省
西沙区,460302,三沙市,海南省
南沙区,460303,三沙市,海南省
海棠区,460202,三亚市,海南省
崖州区,460205,三亚市,海南省
天涯区,460204,三亚市,海南省
吉阳区,460203,三亚市,海南省
海西蒙古族藏族自治州直辖,632825,海西蒙古族藏族自治州,青海省
横州市,450181,南宁市,广西壮族自治区
龙港市,330383,温州市,浙江省
钱塘区,330114,杭州市,浙江省
临平区,330113,杭州市,浙江省
滦州市,130284,唐山市,河北省
信都区,130503,邢台市,河北省
襄都区,130502,邢台市,河北省
任泽区,130505,邢台市,河北省
大埔区,810014,香港特别行政区,
西贡区,810015,香港特别行政区,
沙田区,810016,香港特别行政区,
屯门区,810011,香港特别行政区,
黄大仙区,810008,香港特别行政区,
九龙城区,810007,香港特别行政区,
深水埗区,810006,香港特别行政区,
观塘区,810009,香港特别行政区,
油尖旺区,810005,香港特别行政区,
中西区,810001,香港特别行政区,
离岛区,810018,香港特别行政区,
湾仔区,810002,香港特别行政区,
元朗区,810012,香港特别行政区,
荃湾区,810010,香港特别行政区,
葵青区,810017,香港特别行政区,
花王堂区,820002,澳门特别行政区,
望德堂区,820003,澳门特别行政区,
嘉模堂区,820006,澳门特别行政区,
圣方济各堂区,820008,澳门特别行政区,
花地玛堂区,820001,澳门特别行政区,
路氹填海区,820007,澳门特别行政区,
风顺堂区,820005,澳门特别行政区,
大堂区,820004,澳门特别行政区,
叙州区,511504,宜宾市,四川省
潞州区,140403,长治市,山西省
上党区,140404,长治市,山西省
柴桑区,360404,九江市,江西省
红谷滩区,360113,南昌市,江西省
广信区,361104,上饶市,江西省
江孜县,540222,日喀则市,西藏自治区
